responseID,surveyName,language_clean,question_group,question_family,final_text,sentiment,label
142317923,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 6,Negative,0
142317923,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142317923,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142319638,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142319638,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142319638,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142319638,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142319638,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 10,Positive,2
142319638,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Satisfied,Positive,2
142319638,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142320001,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142320001,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 8,Neutral,1
142320001,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142320001,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142320001,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Satisfied,Positive,2
142320001,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142320001,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142320001,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142320001,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Agree,Positive,2
142320001,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Agree,Positive,2
142320001,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142320001,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142320283,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142320283,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142320283,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Extremely satisfied,Positive,2
142320283,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Extremely satisfied,Positive,2
142320283,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 9,Positive,2
142320283,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Extremely satisfied,Positive,2
142320283,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Extremely satisfied,Positive,2
142320283,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Strongly agree,Positive,2
142320283,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Strongly agree,Positive,2
142320283,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Strongly agree,Positive,2
142320283,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Strongly agree,Positive,2
142320283,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142323125,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 5,Negative,0
142323125,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142323125,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142323125,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142323125,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142323125,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Dissatisfied,Negative,0
142323125,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142323125,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Agree,Positive,2
142323125,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Agree,Positive,2
142323125,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142323125,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142323274,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142323274,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142323274,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Strongly agree,Positive,2
142323274,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Agree,Positive,2
142323274,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142323274,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Satisfied,Positive,2
142323274,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142323274,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Extremely satisfied,Positive,2
142323274,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Extremely satisfied,Positive,2
142323274,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Extremely satisfied,Positive,2
142323274,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142323274,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 10,Positive,2
142323441,Defects Survey,malay,rating_intent,nps,[LANG] malay [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 9,Positive,2
142323441,Defects Survey,malay,structured_sentiment,ease,[LANG] malay [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Very easy,Positive,2
142323441,Defects Survey,malay,structured_sentiment,satisfaction,[LANG] malay [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142323441,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Extremely satisfied,Positive,2
142323441,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Extremely satisfied,Positive,2
142323441,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Extremely satisfied,Positive,2
142323441,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Strongly agree,Positive,2
142323441,Defects Survey,malay,other,agreement,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Strongly agree,Positive,2
142323441,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142323441,Defects Survey,malay,rating_intent,other,[LANG] malay [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142323441,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142323441,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Strongly agree,Positive,2
142324300,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Strongly agree,Positive,2
142324300,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Strongly agree,Positive,2
142324300,Defects Survey,malay,other,agreement,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Strongly agree,Positive,2
142324300,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Strongly agree,Positive,2
142324300,Defects Survey,malay,rating_intent,other,[LANG] malay [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142324300,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Extremely satisfied,Positive,2
142324300,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Extremely satisfied,Positive,2
142324300,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Extremely satisfied,Positive,2
142324300,Defects Survey,malay,other,other,[LANG] malay [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Extremely satisfied,Positive,2
142324300,Defects Survey,malay,structured_sentiment,satisfaction,[LANG] malay [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Extremely satisfied,Positive,2
142324300,Defects Survey,malay,rating_intent,nps,[LANG] malay [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 10,Positive,2
142324300,Defects Survey,malay,structured_sentiment,ease,[LANG] malay [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Very easy,Positive,2
142327229,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Agree,Positive,2
142327229,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142327229,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142327229,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Neither agree nor disagree,Neutral,1
142327229,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142327229,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142327229,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142327229,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142327229,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Dissatisfied,Negative,0
142327229,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142327229,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Neither easy nor difficult,Neutral,1
142327229,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 7,Neutral,1
142341680,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Very likely,Positive,2
142341680,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Agree,Positive,2
142341680,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Agree,Positive,2
142341680,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142341680,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Satisfied,Positive,2
142341680,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142341680,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
142341680,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Satisfied,Positive,2
142341680,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Neither easy nor difficult,Neutral,1
142341680,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 10,Positive,2
142341680,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142341680,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142342116,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Extremely satisfied,Positive,2
142342116,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Satisfied,Positive,2
142342116,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142342116,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Extremely satisfied,Positive,2
142342116,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 10,Positive,2
142342116,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142342116,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Extremely satisfied,Positive,2
142342116,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Strongly agree,Positive,2
142342116,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Strongly agree,Positive,2
142342116,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Very likely,Positive,2
142342116,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Strongly agree,Positive,2
142342116,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Strongly agree,Positive,2
142342462,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Satisfied,Positive,2
142342462,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Very easy,Positive,2
142342462,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142342462,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Satisfied,Positive,2
142342462,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Satisfied,Positive,2
142342462,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142342462,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Very likely,Positive,2
142342462,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Strongly agree,Positive,2
142342462,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Strongly agree,Positive,2
142342462,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Strongly agree,Positive,2
142342462,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 8,Neutral,1
142342462,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Strongly agree,Positive,2
142342486,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Extremely satisfied,Positive,2
142342486,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142342486,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Satisfied,Positive,2
142342486,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Satisfied,Positive,2
142342486,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142342486,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142342486,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 8,Neutral,1
142342641,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142342641,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Satisfied,Positive,2
142342641,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Satisfied,Positive,2
142342641,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142342641,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 9,Positive,2
142342641,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Satisfied,Positive,2
142342641,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142342641,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Agree,Positive,2
142342641,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Agree,Positive,2
142342641,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142342641,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142342641,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142342748,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Satisfied,Positive,2
142342748,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The quality of workmanship for defects rectified [ANSWER] Satisfied,Positive,2
142342748,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Satisfied,Positive,2
142342748,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Satisfied,Positive,2
142342748,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 6,Negative,0
142342748,Defects Survey,english,structured_sentiment,ease,[LANG] english [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142342748,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142342748,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Agree,Positive,2
142342748,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Agree,Positive,2
142342748,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142342748,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142342884,Defects Survey,english,rating_intent,nps,[LANG] english [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 2,Negative,0
142342884,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Neither satisfied nor dissatisfied,Neutral,1
